name,description,preconditions,steps,expected_result,priority,status
C_RENT23560_001 - Open Create Group Modal,Verify the Create Group modal opens from the Groups view,User is logged in and on the Groups view,Click the "+ Create Group" button,The Create Group modal is displayed,High,Ready
C_RENT23560_002 - Modal Title Displayed,Verify the modal heading reads "Create Group",The Create Group modal is open,Observe the modal header text,The header text reads "Create Group",Medium,Ready
C_RENT23560_003 - Group Name Field Present,Verify the Group Name field is present,The Create Group modal is open,Locate the Name field,A text input labeled "Group Name" is visible and enabled,High,Ready
C_RENT23560_004 - Group Name Required,Verify submitting with an empty Group Name shows an error,The Create Group modal is open,Leave Name blank | Click "Save",Error "Group name is required" is displayed,High,Ready
C_RENT23560_005 - Group Name Max Length,Verify the Name field enforces 255 characters maximum,The Create Group modal is open,Enter 256 characters in the Name field | Click "Save",Input is capped at 255 or a validation error appears,Medium,Ready
C_RENT23560_006 - Description Field Present,Verify the Description textarea is present,The Create Group modal is open,Locate the Description field,A textarea labeled "Description" is visible,Medium,Ready
C_RENT23560_007 - Description Optional,Verify the group saves when Description is empty,The Create Group modal is open with a valid Name,Leave Description blank | Click "Save",Group is created successfully without a description,Medium,Ready
C_RENT23560_008 - Members Field Present,Verify the Members selection field is present,The Create Group modal is open,Locate the Members field,A multi-select or search-input for Members is visible,High,Ready
C_RENT23560_009 - Add Single Member,Verify a single member can be added to a group,The Create Group modal is open,Click the Members field | Search for a user | Select them | Click "Save",The group is created with one member,High,Ready
C_RENT23560_010 - Add Multiple Members,Verify multiple members can be added at once,The Create Group modal is open,Add three different users via the Members field | Click "Save",The group is created with all three members,High,Ready
C_RENT23560_011 - Remove Member Before Save,Verify a selected member can be removed before saving,The Create Group modal is open with two members added,Click the remove icon on one member chip,The member is removed from the selection; the other remains,High,Ready
C_RENT23560_012 - Cancel Button Closes Modal,Verify Cancel closes the modal without creating a group,The Create Group modal is open with data filled,Click "Cancel",The modal closes; no new group is listed in the Groups view,High,Ready
C_RENT23560_013 - ESC Key Closes Modal,Verify pressing Escape closes the modal,The Create Group modal is open,Press the Escape key,The modal closes without saving,Medium,Ready
C_RENT23560_014 - Save Creates Group,Verify Save creates the group and closes the modal,The Create Group modal has a valid Name and at least one member,Click "Save",Modal closes and the new group appears in the Groups list,High,Ready
C_RENT23560_015 - Duplicate Group Name Warning,Verify a warning appears for duplicate group names,A group named "QA Team" already exists,Enter "QA Team" in the Name field | Click "Save",Warning "A group with this name already exists" is shown,High,Ready
C_RENT23560_016 - Spinner While Saving,Verify a loading indicator is shown during the save operation,The Create Group modal is open with valid data,Click "Save" and observe button state,A spinner is shown on the Save button while the API call is in progress,Medium,Ready
C_RENT23560_017 - API Failure Error Message,Verify an error message is shown on server failure,The Create Group modal is open | Server returns 500,Enter valid data | Click "Save" | Simulate server failure,Error message "Failed to create group. Please try again." is displayed,High,Ready
C_RENT23560_018 - Permissions Field Present,Verify the Permissions field is visible in the modal,The Create Group modal is open,Locate the Permissions section,A field or section labeled "Permissions" is visible with selectable options,Medium,Ready
C_RENT23560_019 - Default Permission Level,Verify the default permission level is "Viewer",The Create Group modal is open,Observe the Permissions field initial state,The "Viewer" permission is selected by default,Medium,Ready
C_RENT23560_020 - Change Permission to Editor,Verify selecting "Editor" permission is saved correctly,The Create Group modal is open,Select "Editor" from the Permissions field | Fill Name | Click "Save",The group is created with Editor-level permissions,High,Ready
C_RENT23560_021 - Change Permission to Admin,Verify selecting "Admin" permission is saved correctly,The Create Group modal is open | Current user has Admin rights,Select "Admin" from the Permissions field | Fill Name | Click "Save",The group is created with Admin-level permissions,High,Ready
C_RENT23560_022 - Search Members by Name,Verify typing in the Members field filters users by name,The Create Group modal is open | Multiple users exist,Type a partial name in the Members search field,Only users matching the search string are listed in the dropdown,High,Ready
C_RENT23560_023 - Search Members by Email,Verify users can be found by email in the Members search,The Create Group modal is open,Type a partial email address in the Members field,Matching users are listed; selecting one adds them to the group,Medium,Ready
C_RENT23560_024 - No Members Found State,Verify a "no results" state is shown when member search yields nothing,The Create Group modal is open,Type a string matching no user in the Members field,A "No users found" message is shown inside the dropdown,Medium,Ready
C_RENT23560_025 - Group Color/Icon Selection,Verify the modal offers a color or icon selection for the group,The Create Group modal is open,Locate the color or icon picker,A color swatch or icon picker is visible and clickable,Low,Draft
C_RENT23560_026 - Selected Color Is Saved,Verify the chosen group color persists after saving,The Create Group modal is open with a color selected,Select a non-default color | Fill Name | Click "Save",The new group displays the chosen color in the Groups list,Low,Draft
C_RENT23560_027 - Modal Overlay Does Not Dismiss,Verify clicking outside does not dismiss modal with unsaved data,The Create Group modal has data entered,Click outside the modal on the overlay,The modal stays open; a discard prompt may be shown,Medium,Ready
C_RENT23560_028 - Keyboard Navigation,Verify all modal fields are Tab-navigable,The Create Group modal is open,Press Tab from the Group Name field,Focus cycles through Name → Description → Members → Permissions → Cancel → Save in order,Medium,Ready
C_RENT23560_029 - Accessibility ARIA Roles,Verify the modal and its fields carry correct ARIA roles,The Create Group modal is open,Inspect with a screen reader or accessibility tool,The modal has role="dialog" and all inputs have associated labels,Low,Draft
C_RENT23560_030 - Form Reset After Cancel and Reopen,Verify modal fields are blank when reopened after Cancel,The Create Group modal was opened and cancelled,Reopen the Create Group modal,All fields are empty; no prior input is retained,Medium,Ready
C_RENT23560_031 - Newly Created Group Appears in List,Verify the Groups list refreshes immediately after creation,No groups exist or the list is at the last observed state,Create a new group via the modal | Close modal,The new group is visible at the top of the Groups list without a manual page refresh,High,Ready
C_RENT23560_032 - Created By Column Shows Creator,Verify the "Created By" column in the Groups list shows the logged-in user,A new group has just been created,Navigate to the Groups list | Locate the new group,The "Created By" field shows the username of the user who created the group,Medium,Ready
C_RENT23560_033 - Created At Timestamp Accurate,Verify the "Created At" timestamp reflects the creation time,A new group has just been created,Check the "Created At" field on the new group in the list,The timestamp is within 60 seconds of the actual creation time and uses the user's timezone,Medium,Ready
C_RENT23560_034 - Edit Group After Creation,Verify an existing group can be edited via the Edit option,A group named "Dev Team" exists,Click the overflow menu on "Dev Team" | Click "Edit" | Change Name to "Dev Team 2" | Click "Save",The group is updated and displays the new name "Dev Team 2",High,Ready
C_RENT23560_035 - Delete Single Group,Verify a group can be deleted via the overflow menu,A group exists,Click the overflow menu on a group | Click "Delete" | Confirm,The group is removed from the Groups list,High,Ready
C_RENT23560_036 - Delete Confirmation Dialog,Verify a confirmation dialog appears before deleting a group,A group exists,Click "Delete" from the group overflow menu,A confirmation dialog asks "Are you sure you want to delete this group?" with Confirm and Cancel buttons,High,Ready
C_RENT23560_037 - Cancel Delete Keeps Group,Verify cancelling the delete confirmation does not delete the group,A group exists | The delete confirmation dialog is open,Click "Cancel" in the delete confirmation dialog,The dialog closes; the group remains in the list,High,Ready
C_RENT23560_038 - Bulk Delete Groups,Verify multiple groups can be deleted at once,At least two groups exist,Select two groups using checkboxes | Click "Delete" in the bulk toolbar | Confirm,Both groups are removed from the list,High,Ready
C_RENT23560_039 - Group Member Count Displayed,Verify the Groups list shows the number of members per group,A group with 3 members exists,Navigate to the Groups list | Locate the group,A "Members" column or badge shows "3",Medium,Ready
C_RENT23560_040 - Add Member to Existing Group,Verify a member can be added to an already-created group,A group exists with one member,Open the group detail | Click "Add Member" | Search and select a new user | Save,The group now shows two members,High,Ready
C_RENT23560_041 - Remove Member From Existing Group,Verify a member can be removed from an existing group,A group exists with two members,Open the group detail | Click Remove on one member | Confirm,The group now shows one member,High,Ready
C_RENT23560_042 - Group Visible to All Admins,Verify newly created groups are visible to all admin users,Two admin accounts exist (Admin A creates the group),Admin B logs in and navigates to Groups view,The group created by Admin A is visible to Admin B,High,Ready
C_RENT23560_043 - Non-Admin Cannot Create Group,Verify a user with Viewer permission cannot access Create Group,A user with Viewer role is logged in,Attempt to access the Create Group button or URL directly,The Create Group button is hidden or the action returns a 403 Forbidden error,High,Ready
C_RENT23560_044 - Group Name Trimmed on Save,Verify leading and trailing whitespace in the Group Name is trimmed,The Create Group modal is open,Enter "  QA Group  " (with spaces) in the Name field | Click "Save",The group is created with the name "QA Group" (trimmed) and no error is raised,Medium,Ready
